DATETIME,I/O Read,I/O Write,Parse time,Bind time,Check time,Emit time,Total time,
Thu 31 Mar 2022 11:01:47 AM PDT,0.22,0.01,3.25,1.17,5.51,0.81,10.74,
Thu 31 Mar 2022 11:02:24 AM PDT,0.07,0.01,3.63,1.53,8.94,0.89,14.99,
Thu 31 Mar 2022 11:05:35 AM PDT,0.05,0.02,2.98,0.97,8.73,1.25,13.93,
Fri 01 Apr 2022 10:48:08 AM PDT,0.06,0.01,2.28,1.06,4.88,0.78,9.01,
Fri 01 Apr 2022 10:55:24 AM PDT,0.07,0.05,2.59,0.85,7.08,1.07,11.59,
Fri 01 Apr 2022 10:57:46 AM PDT,0.05,0.03,3.69,2.31,6.71,1.29,14.00,
Fri 01 Apr 2022 10:58:07 AM PDT,0.09,0.01,4.13,0.89,5.13,1.06,11.21,
Fri 01 Apr 2022 10:59:17 AM PDT,0.05,0.05,5.59,1.76,7.47,1.29,16.11,
Fri 01 Apr 2022 11:01:00 AM PDT,0.04,0.03,2.25,1.04,7.88,1.26,12.44,
Fri 01 Apr 2022 11:05:14 AM PDT,0.08,0.05,4.73,2.36,8.22,1.58,16.89,
Fri 01 Apr 2022 11:32:57 AM PDT,0.05,0.02,3.28,1.85,7.20,1.05,13.38,
Fri 01 Apr 2022 01:39:25 PM PDT,0.09,0.01,3.81,2.52,9.55,0.92,16.80,